id,wiki_id,name,instance_of,ar,de,es,fr,it,ja
2777,Q748291,Asterix and the Actress,comic book album,,Asterix und Latraviata,Astérix y Latraviata,Astérix et Latraviata,Asterix e Latraviata,
2778,Q11828004,province of Canada,designation for an administrative territorial entity of a single country,مقاطعة في كندا,Provinz von Kanada,provincia de Canadá,province du Canada,provincia in Canada,カナダの州
2779,Q517958,Field of Dreams,film,حقل الأحلام,Feld der Träume,Field of Dreams,Jusqu'au bout du rêve,L'uomo dei sogni,フィールド・オブ・ドリームス
2780,Q1168870,The Chalk Garden,film,حديقة الطباشير,Das Haus im Kreidegarten,Mujer sin pasado,Mystère sur la falaise,Il giardino di gesso,ドーヴァーの青い花
2781,Q313733,Antiochus XIII Asiaticus,human,أنطيوخوس الثالث عشر,Antiochos XIII.,Antíoco XIII Asiático,Antiochos XIII,Antioco XIII,アンティオコス13世
2782,Q933,South Pole,geographical pole,القطب الجنوبي,Südpol,Polo Sur,pôle Sud,polo sud,南極点
2783,Q1329234,Metamorphosis of Plants,literary work,تحول النباتات,"Versuch, die Metamorphose der Pflanzen zu erklären",Intento de explicar la metamorfosis de las plantas,Essai sur la métamorphose des plantes,Metamorfosi delle piante,
2784,Q3388152,Romeo & Juliet: Sealed with a Kiss,animated film,روميو وجولييت: مختوم بقبلة,Romeo & Julia: Besiegelt mit einem Kuss,"Fofita, una foquita la mar de salada",Roméo et Juliette : Scellés d'un Baiser,Romeo e Giulietta - Amore all'ultima pinna,
2785,Q1635731,Violin Sonata No. 1,musical work/composition,,Violinsonate Nr. 1,Sonata para violín n.º 1,Sonate pour violon et piano nº 1 de Beethoven,,ヴァイオリンソナタ第1番
2786,Q16551,Vermont,U.S. state,فيرمونت,Vermont,Vermont,Vermont,Vermont,バーモント州
2787,Q10285,Colosseum,Roman amphitheatre,كولوسيوم,Kolosseum,Coliseo,Colisée,Colosseo,コロッセオ
2788,Q42834,Western Roman Empire,empire,الإمبراطورية الرومانية الغربية,Weströmisches Reich,Imperio romano de Occidente,Empire romain d'Occident,Impero romano d'Occidente,西ローマ帝国
2789,Q184,Belarus,sovereign state,بيلاروس,Belarus,Bielorrusia,Biélorussie,Bielorussia,ベラルーシ
2790,Q1235125,Into the Wild,written work,,In die Wildnis,Hacia rutas salvajes,Voyage au bout de la solitude,Nelle terre estreme,荒野へ
2791,Q210469,Symphony No. 2,musical work/composition,,2. Sinfonie,Sinfonía n.º 2,Symphonie nº 2 de Brahms,Sinfonia n. 2,交響曲第2番 (ブラームス)
2792,Q12271,architecture,academic discipline,عمارة,Architektur,arquitectura,architecture,architettura,建築
2793,Q5429292,Fadee Andrawos,human,فادي أندراوس,Fady Andraos,Fady Andraos,Fady Andraos,,
2794,Q1219445,The Shrinking Man,literary work,,Die seltsame Geschichte des Mr. C.,El hombre menguante,L'Homme qui rétrécit,Tre millimetri al giorno,縮みゆく人間
2795,Q558664,Alex Rodriguez,human,أليكس رودريجيز,Alex Rodríguez,Alex Rodríguez,Alex Rodriguez,Alexander Rodriguez,アレックス・ロドリゲス
2796,Q276028,Frances Hodgson Burnett,human,فرانسيس هودسون برنيت,Frances Hodgson Burnett,Frances Hodgson Burnett,Frances Hodgson Burnett,Frances Hodgson Burnett,フランシス・ホジソン・バーネット
2797,Q25786,Violin Concerto,musical work/composition,,Dem Andenken eines Engels,Concierto para violín,Concerto à la mémoire d'un ange,Concerto per violino e orchestra,ヴァイオリン協奏曲
2798,Q3177118,Mormons,religious identity,مورمون,Mormonen,mormones,Mormons,Mormoni,モルモン教
2799,Q341122,Great Eighteen Chorale Preludes,musical work/composition,,Achtzehn Choräle,Dieciocho grandes preludios corales,Chorals de Leipzig,Preludi corali di Lipsia,
2800,Q182944,Shakespeare in Love,film,شكسبير عاشقا,Shakespeare in Love,Shakespeare in Love,Shakespeare in Love,Shakespeare in Love,恋におちたシェイクスピア
2801,Q83311,Persian Empire,empire,الإمبراطورية الفارسية,Perserreich,Imperio persa,Empire perse,Impero persiano,ペルシア帝国
2802,Q40715,Jennifer Lopez,human,جينيفر لوبيز,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez,ジェニファー・ロペス
2803,Q2324276,"Prince Ferdinando, Duke of Castro",human,,"Prinz Ferdinando, Herzog zu Castro",Fernando de Borbón-Dos Sicilias,Ferdinand de Bourbon-Siciles,"Principe Ferdinando, Duca di Castro",フェルディナンド・マリア・ディ・ボルボーネ＝ドゥエ・シチリエ
2804,Q4788432,Are You My Mother?,literary work,,,,C'est toi ma maman ?,,
2805,Q514043,Anne of Green Gables,anime television series,شما في البراري الخضراء,Anne mit den roten Haaren,Ana de las Tejas Verdes,Anne… la maison aux pignons verts,Anna dai capelli rossi,赤毛のアン
2806,Q390150,Salisbury Cathedral,Anglican or Episcopal cathedral,كاتدرائية سالزبوري,Kathedrale von Salisbury,Catedral de Salisbury,cathédrale de Salisbury,cattedrale di Salisbury,ソールズベリー大聖堂
2807,Q659407,Frankenstein complex,artificial word,عقدة فرانكشتاين,,,Complexe de Frankenstein,complesso di Frankenstein,フランケンシュタイン・コンプレックス
2808,Q459441,"Prince Ferdinand, Duke of Genoa",human,فرديناند دوق جنوة,Ferdinand Maria von Savoyen-Carignan,Fernando de Saboya,Ferdinand de Savoie,"Ferdinando di Savoia, duca di Genova",フェルディナンド・アルベルト・アメデーオ・ディ・サヴォイア
2809,Q191540,New Moon,literary work,قمر جديد,Bis(s) zur Mittagsstunde,Luna nueva,Tentation,New Moon,
2810,Q270966,Reggie Miller,human,ريجي ميلر,Reggie Miller,Reggie Miller,Reggie Miller,Reggie Miller,レジー・ミラー
2811,Q275662,Mount Hood,stratovolcano,جبل هود,Mount Hood,Monte Hood,mont Hood,Monte Hood,フッド山
2812,Q1754611,Seven Days in May,film,,Sieben Tage im Mai,Siete días de mayo,Sept jours en mai,Sette giorni a maggio,五月の七日間
2813,Q1072093,military chocolate,food,,US-amerikanische Militärschokolade,Chocolate de las Fuerzas Armadas de Estados Unidos,chocolat des forces armées des États-Unis,Cioccolato delle forze armate statunitensi,アメリカ軍用チョコレート
2814,Q2740751,Blackadder Goes Forth,television series season,,Blackadder – Vierter Teil,,,quarta stagione di Blackadder,
2815,Q178453,Order of the Phoenix,organisation in Harry Potter series,جماعة العنقاء,Orden des Phönix,Orden del Fénix,Ordre du Phénix,Ordine della Fenice,不死鳥の騎士団
2816,Q231876,Sophia Dorothea of Celle,human,صوفيا أميرة تسيليه,Sophie Dorothea von Braunschweig-Lüneburg,Sofía Dorotea de Brunswick-Luneburgo,Sophie-Dorothée de Brunswick-Lunebourg,Sofia Dorotea di Celle,ゾフィア・ドロテア・フォン・ブラウンシュヴァイク＝リューネブルク
2817,Q114900,Lori Graimez,fictional human,لوري غرايمز,Lori Grimes,Lori Grimes,Lori Grimes,Lori Grimes,
2818,Q828,Americas,supercontinent,أمريكتان,Amerika,América,Amérique,America,アメリカ州
2819,Q1430090,Nuruosmaniye Mosque,mosque,جامع نور عثمانية,Nuruosmaniye-Moschee,Mezquita de Nuruosmaniye,mosquée Nuruosmaniye,moschea di Nuruosmaniye,
2820,Q54860687,Inside the World's Toughest Prisons,television series,,Die härtesten Gefängnisse der Welt,,Inside the World's Toughest Prisons,,潜入! 世界の危険な刑務所
2821,Q110701,overhead contact line,type of electricity transmission,أسلاك علوية,Oberleitung,catenaria,caténaire,linea aerea di contatto,架空電車線方式
2822,Q1398368,Kilmacduagh monastery,abbey,,Abtei Kilmacduagh,Monasterio de Kilmacduagh,monastère de Kilmacduagh,,
2823,Q474895,The Viceroy of Ouidah,literary work,والي أويدا (رواية),Der Vizekönig von Ouidah,,,Il viceré di Ouidah,
2824,Q418359,hydroxyethylpiperazine ethane sulfonic acid,type of chemical entity,هبيس,HEPES,,HEPES,HEPES,HEPES
2825,Q231162,Symphony No. 4,musical work/composition,,4. Sinfonie,Sinfonía n.º 4,Symphonie nº 4 de Bruckner,Sinfonia n. 4,交響曲第4番 (ブルックナー)
2826,Q2479291,Moogle,fictional species,,,Moguri,Mog,Moguri,モーグリ
2827,Q1702885,Medal for Merit to Culture,medallion,ميدالية الاستحقاق للثقافة,Gloria-Artis-Medaille für kulturelle Verdienste,Medalla al Mérito Cultural «Gloria Artis»,médaille du Mérite culturel polonais Gloria Artis,medaglia Gloria Artis,文化功労章グロリア・アルティス・メダル
2828,Q25060439,59th Annual Grammy Awards,award ceremony,حفل توزيع جوائز الغرامي التاسع والخمسين,Grammy Awards 2017,Anexo:Premios Grammy de 2017,59e cérémonie des Grammy Awards,Grammy Awards 2017,第59回グラミー賞
2829,Q592253,Notre Dame Fighting Irish,university and college sports club,نوتردام فايتينغ أيريش,,Notre Dame Fighting Irish,Fighting Irish de Notre Dame,,
2830,Q4146999,State Central Museum of the Contemporary Russian History,museum,,Staatliches zentrales Museum für zeitgenössische Geschichte Russlands,,musée central d'État d'histoire contemporaine de Russie,,
2831,Q230238,Astrid of Sweden,human,أستريد من السويد,Astrid von Schweden,Astrid de Suecia,Astrid de Suède,Astrid di Svezia,アストリッド・ド・スエード
2832,Q771,Massachusetts,U.S. state,ماساتشوستس,Massachusetts,Massachusetts,Massachusetts,Massachusetts,マサチューセッツ州
2833,Q1198734,The Happy Prince,literary work,الأمير السعيد,Der glückliche Prinz,Principe feliz,Le Crime de lord Arthur Savile,Il principe felice,幸福な王子
2834,Q22,Scotland,constituent country of the United Kingdom,إسكتلندا,Schottland,Escocia,Écosse,Scozia,スコットランド
2835,Q5111326,Christmas Concerto,musical work/composition,,,Concierto de Navidad,Concerto opus 6 n° 8,Concerto grosso fatto per la notte di Natale,クリスマス協奏曲
2836,Q3264654,Lubna of Cordoba,human,لبنى القرطبية,Lubna von Córdoba,Lubna de Córdoba,Lubna de Córdoba,Lubna de Córdoba,
2837,Q430565,"Francesco I Gonzaga, Marquess of Mantua",human,,Gianfrancesco I. Gonzaga,Gianfrancesco Gonzaga,Jean-François de Mantoue,Gianfrancesco Gonzaga,ジャンフランチェスコ1世・ゴンザーガ
2838,Q108852813,Tear Along the Dotted Line,animated television series,,An der perforierten Linie abreißen,Cortar por la línea de puntos,À découper suivant les pointillés,Strappare lungo i bordi,点線に沿って切り取る
2839,Q488020,Anatoly Dyatlov,human,أناتولي دياتلوف,Anatoli Stepanowitsch Djatlow,Anatoli Diátlov,Anatoli Diatlov,Anatolij Stepanovič Djatlov,アナトリー・ディアトロフ
2840,Q86591,Independence Day,federal holiday in the United States,يوم الاستقلال,Unabhängigkeitstag,Día de la Independencia de los Estados Unidos,Jour de l'Indépendance,Giorno dell'Indipendenza,独立記念日
2841,Q490566,Appointment with Death,film,موعد مع الموت,Rendezvous mit einer Leiche,Cita con la muerte,Rendez-vous avec la mort,Appuntamento con la morte,死海殺人事件
2842,Q81328175,Flipping 101 w/ Tarek El Moussa,television series,,Haus-Flipping mit Tarek,,,,
2843,Q12097,king,noble title,ملك,König,rey,roi,re,王
2844,Q3795180,The Narrows,literary work,,Die Rückkehr des Poeten,Cauces de maldad,Los Angeles River,Il poeta è tornato,天使と罪の街 (小説)
2845,Q233562,The Wealth of Nations,literary work,ثروة الأمم,Der Wohlstand der Nationen,La riqueza de las naciones,Recherches sur la nature et les causes de la richesse des nations,La ricchezza delle nazioni,国富論
2846,Q4504610,Church of Saint Boris and Gleb in Zyuzino,church building,,,,église Saints-Boris-et-Gleb de Ziouzino,,
2847,Q34,Sweden,sovereign state,السويد,Schweden,Suecia,Suède,Svezia,スウェーデン
2848,Q22279,Susan Collins,human,سوزان كولينز,Susan Collins,Susan Collins,Susan Collins,Susan Collins,スーザン・コリンズ
2849,Q76,Barack Obama,human,باراك أوباما,Barack Obama,Barack Obama,Barack Obama,Barack Obama,バラク・オバマ
2850,Q817052,Princess Benedikte of Denmark,human,بينديكت أميرة الدنمارك,Benedikte zu Dänemark,Benedicta de Dinamarca,Bénédicte de Danemark,Benedetta di Danimarca,ベネディクテ (デンマーク王女)
2851,Q1511625,The Harder They Fall,film,,Schmutziger Lorbeer,Más dura será la caída,Plus dure sera la chute,Il colosso d'argilla,殴られる男
2852,Q17183840,The Small Giant,television series,العملاقة الصغيرة,La Petite Géante,,La Petite Géante,,
2853,Q621,Versailles,commune of France,فرساي,Versailles,Versalles,Versailles,Versailles,ヴェルサイユ
2854,Q3395987,cooking apple,fruit,,Kochapfel,manzana de cocina,pomme à cuire,,クッキングアップル
2855,Q80541,Sultan Ahmed Mosque,mosque,جامع السلطان أحمد,Sultan-Ahmed-Moschee,Mezquita Azul,mosquée bleue,Moschea Blu,スルタンアフメト・モスク
2856,Q513756,King's Mosque in Pristina,mosque,المسجد الإمبراطوري,Große Moschee von Priština,Mezquita Imperial,mosquée impériale de Pristina,,ファティスルタンメフメットモスク
2857,Q35355,Sumer,archaeological culture,سومر,Sumer,Sumeria,Sumer,Sumer,シュメール
2858,Q4536588,Blue Serpent Clock,Fabergé egg,,Blaues Uhrenei mit Schlange,Huevo del reloj de la serpiente azul,,Uovo orologio del serpente blu,青い蛇の時計
2859,Q191663,The Canterbury Tales,short story collection,حكايات كانتربري,Canterbury-Erzählungen,Los cuentos de Canterbury,Les Contes de Cantorbéry,I racconti di Canterbury,カンタベリー物語
2860,Q22905735,Nil Battey Sannata,film,نيل باتي ساناتا,Lebe deine Träume – Laiv Sapane,The New Classmate,,,ニュークラスメイト
2861,Q1197352,Test Pilot,film,طيار الاختبار,Der Werkpilot,Piloto de pruebas,Pilote d'essai,Arditi dell'aria,テスト・パイロット (映画)
2862,Q252858,Chinese pyramids,mausoleum,,Pyramiden von China,Pirámide de Xi'An,pyramides chinoises,,中国ピラミッド
2863,Q2055564,Tom Perrotta,human,توم بيروتا,Tom Perrotta,Tom Perrotta,Tom Perrotta,Tom Perrotta,
2864,Q202311,Roman Egypt,Roman province,مصر,Aegyptus,Egipto,province romaine de l'Égypte,Egitto,アエギュプトゥス
2865,Q161191,For Your Eyes Only,short story collection,,007 James Bond greift ein,Sólo para tus ojos,Bons baisers de Paris,Solo per i tuoi occhi,
2866,Q1150964,Phra Pathommachedi,Chedi,,Phra Pathom Chedi,Phra Pathom Chedi,,,ワット・プラパトムチェーディー
2867,Q506207,Parkinson's law,adage,قانون باركنسون,Parkinsonsche Gesetze,Ley de Parkinson,loi de Parkinson,La legge di Parkinson,パーキンソンの法則
2868,Q168667,Louise of Great Britain,human,لويزا من بريطانيا العظمى,"Louise von Großbritannien, Irland und Hannover",Luisa de Gran Bretaña,Louise de Grande-Bretagne,Luisa di Hannover,ルイーズ・オブ・グレート・ブリテン
2869,Q1000,Gabon,country,الغابون,Gabun,Gabón,Gabon,Gabon,ガボン
2870,Q2096569,Alice's Adventures in Wonderland,film,,Alice im Wunderland,Alicia en el país de las maravillas,Alice au pays des merveilles,Le avventure di Alice nel Paese delle Meraviglie,不思議の国のアリス
2871,Q12544,Byzantine Empire,empire,الإمبراطورية البيزنطية,Byzantinisches Reich,Imperio bizantino,Empire byzantin,Impero bizantino,東ローマ帝国
2872,Q720235,Holden Caulfield,fictional human,هولدن كولفيلد,Holden Caulfield,Holden Caulfield,Holden Caulfield,Holden Caulfield,ホールデン・コールフィールド
2873,Q2718258,The Vampire Diaries: The Awakening,literary work,,,Despertar,Le Journal d'un vampire : Tome 1,Il diario del vampiro - Il risveglio,
2874,Q335169,Chicago White Sox,baseball team,شيكاغو وايت سوكس,Chicago White Sox,Chicago White Sox,White Sox de Chicago,Chicago White Sox,シカゴ・ホワイトソックス
2875,Q597545,The Reluctant Fundamentalist,literary work,,,,L'Intégriste malgré lui,Il fondamentalista riluttante,コウモリの見た夢
2876,Q24204,Josh Gordon,human,جوش غوردون,Josh Gordon,Josh Gordon,Josh Gordon,Josh Gordon,ジョシュ・ゴードン
2877,Q1588,Louisiana,U.S. state,لويزيانا,Louisiana,Luisiana,Louisiane,Louisiana,ルイジアナ州
2878,Q1185475,list of Inazuma Eleven episodes,Wikimedia list article,,Inazuma Eleven/Episodenliste,Anexo:Episodios de Inazuma Eleven,liste des épisodes d'Inazuma Eleven,episodi di Inazuma Eleven,
2879,Q7278,political party,legal concept,حزب سياسي,politische Partei,partido político,parti politique,partito politico,政党
2880,Q126877,Gorky Park,amusement park,,Gorki-Park,Parque Gorki,parc Gorki,Gor'kij Park,ゴーリキイ公園
2881,Q242181,Archduchess Margarete Sophie of Austria,human,مارغريت صوفي النمساوية,Margarete Sophie von Österreich,Margarita Sofía de Austria,Marguerite de Habsbourg-Lorraine,Margherita Sofia d'Asburgo-Lorena,マルガレーテ・ゾフィー・フォン・エスターライヒ
2882,Q192279,Aleksey Tolstoy,human,أليكسي نيكولايفيتش تولستوي,Alexei Nikolajewitsch Tolstoi,Alekséi Nikoláyevich Tolstói,Alexeï Nikolaïevitch Tolstoï,Aleksej Nikolaevič Tolstoj,アレクセイ・ニコラエヴィッチ・トルストイ
2883,Q2556509,Dragon Ball: Sleeping Princess in Devil's Castle,anime film,,Dragon Ball – The Movie: Das Schloss der Dämonen,La Bella Durmiente en el Castillo del Mal,Dragon Ball : Le Château du démon,Dragon Ball - La bella addormentata a Castel Demonio,ドラゴンボール 魔神城のねむり姫
2884,Q207335,Pete Best,human,بيت بيست,Pete Best,Pete Best,Pete Best,Pete Best,ピート・ベスト
2885,Q25399132,Life Foundation,fictional organization,,,Fundación Vida,,Fondazione per la Vita,カールトン・ドレイク
2886,Q530797,Play It to the Bone,film,العبها حتى العظام,Knocked Out – Eine schlagkräftige Freundschaft,Jugando a tope,Les Adversaires,Incontriamoci a Las Vegas,マイ スウィート ガイズ
2887,Q2649163,Allie,unisex given name,ألي,Allie,Allie,Allie,Allie,アリー
2888,Q458,European Union,regional organization,الاتحاد الأوروبي,Europäische Union,Unión Europea,Union européenne,Unione europea,欧州連合
2889,Q637180,Heaven Can Wait,film,السماء بإمكانها الانتظار,Der Himmel soll warten,El cielo puede esperar,Le ciel peut attendre,Il paradiso può attendere,天国から来たチャンピオン
2890,Q25921512,The Hammer of Thor,literary work,,Magnus Chase – Der Hammer des Thor,El martillo de Thor,Le Marteau de Thor,Il martello di Thor,
2891,Q816,Arizona,U.S. state,أريزونا,Arizona,Arizona,Arizona,Arizona,アリゾナ州
2892,Q1215802,The Food of the Gods and How It Came to Earth,literary work,طعام الآلهة وكيف جاء إلى الأرض,Die Riesen kommen!,El alimento de los dioses,Place aux géants,L'alimento divino,神々の糧
2893,Q597783,U Can't Touch This,musical work/composition,لا يمكنك لمس هذا,U Can't Touch This,U Can't Touch This,U Can't Touch This,U Can't Touch This,Uキャント・タッチ・ジス
2894,Q1572125,End of the World,film,نهاية العالم,Das Ende der Welt,,Destruction planète Terre,,エンド・オブ・ザ・ワールド/死を呼ぶエイリアン脱出計画
2895,Q2723874,Yazidi Black Book,book,مصحف رش,,,Mechef Rech,Mishefa Res,ミスヘファ・レシ
2896,Q45914,Maya people,ethnic group,شعب المايا,Mayas,mayas,Mayas,,マヤ人
2897,Q39086965,South Asian Americans,ethnic minority group,أمريكيو جنوب آسيا,,,Américaines sud-asiatiques,,南アジア系アメリカ人
2898,Q7993159,Where Angels Fear to Tread,literary work,,,,,Monteriano,天使も踏むを恐れるところ
2899,Q1535338,Ned's Declassified School Survival Guide,television series,,Neds ultimativer Schulwahnsinn,Manual de supervivencia escolar de Ned,Ned ou Comment survivre aux études,Ned - Scuola di sopravvivenza,
2900,Q1053081,Cello Concerto,musical work/composition,,Cellokonzert,Concierto para violonchelo,Concerto pour violoncelle de Dvořák,Concerto per violoncello n. 2 in Si minore b. 191,チェロ協奏曲
2901,Q692417,New York Mets,baseball team,نيويورك ميتس,New York Mets,New York Mets,Mets de New York,New York Mets,ニューヨーク・メッツ
2902,Q466265,Death and the Maiden,film,الموت والعذراء,Der Tod und das Mädchen,La muerte y la doncella,La Jeune Fille et la Mort,La morte e la fanciulla,死と処女
2903,Q58037,"Wilhelm Ernst I, Grand Duke of Saxe-Weimar-Eisenach",human,,Wilhelm Ernst,Guillermo Ernesto de Sajonia-Weimar-Eisenach,Guillaume-Ernest de Saxe-Weimar-Eisenach,Guglielmo Ernesto di Sassonia-Weimar-Eisenach,ヴィルヘルム・エルンスト
2904,Q201112,Emblem of Laos,national coat of arms,شعار لاوس,Wappen von Laos,Escudo de Laos,armoiries du Laos,emblema del Laos,ラオスの国章
2905,Q2945161,The Snowmen,television series episode,,Die Schneemänner,Los hombres de nieve,La Dame de glace,I pupazzi di neve,スノーメン
2906,Q11627051,Nishi no Majo ga Shinda,literary work,,,,L'Été de la sorcière,,西の魔女が死んだ
2907,Q4045336,Nick Fury's Howling Commandos,group of fictional characters,,,Comandos Aulladores,,,ニック・フューリーズ・ハウリング・コマンドーズ
2908,Q1548019,Tax Code of Russia,code of law,,Steuergesetzbuch,Impuestos de Rusia,Code fiscal de la Fédération russe,,
2909,Q667340,Henry IV,literary work,,Heinrich IV.,Enrique IV,Henri IV,Enrico IV,エンリコ四世
2910,Q65552665,Scooby-Doo! Return to Zombie Island,animated film,,,¡Scooby Doo! Regreso a la Isla de los Zombis,Scooby-Doo : Retour sur l'île aux zombies,Scooby-Doo! ritorno sull'isola degli zombie,
2911,Q2700307,Swann's Way,literary work,,In Swanns Welt,Por el camino de Swann,Du côté de chez Swann,Dalla parte di Swann,スワン家の方へ
2912,Q56005,Ridley Scott,human,ريدلي سكوت,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,リドリー・スコット
2913,Q2738066,Forgotten One,fictional human,المنسي,,El Olvidado,Gilgamesh,,ギルガメッシュ
2914,Q108443295,The Five Juanas,web series,,Fünffache Rache,La venganza de las Juanas,Au nom de la vengeance,La vendetta delle Juana,
2915,Q8698,Great Depression,economic crisis,الكساد الكبير,Weltwirtschaftskrise,Gran Depresión,Grande Dépression,grande depressione,世界恐慌
2916,Q737377,Singer House,office building,,Singer-Haus,Casa Singer,immeuble de la compagnie Singer,Casa Singer,シンガーハウス
2917,Q553137,Louis Sachar,human,,Louis Sachar,Louis Sachar,Louis Sachar,Louis Sachar,ルイス・サッカー
2918,Q828551,Mustafar,Star Wars planet,,Mustafar,Mustafar,Mustafar,Mustafar,ムスタファー
2919,Q2566628,The Adventures of Food Boy,television film,,High School Superhero,,Les Aventures de Food Boy,,
2920,Q622868,Heart Sutra,Mahayana sutra,,Herz-Sutra,Sutra del Corazón,Sūtra du Cœur,Sutra del Cuore,般若心経
2921,Q3056729,Ermengarde of Anjou,human,,Ermengarde d'Anjou,Ermengarda de Anjou,Ermengarde d'Anjou,Ermengarda d'Angiò,エルマンガルド・ダンジュー
2922,Q58765,The Story of the Western Wing,literary work,,Das Westzimmer,El Romance de la Cámara Occidental,Xixiang ji,,西廂記
2923,Q442696,Joe the Plumber,human,جو السباك,Joe der Klempner,Joe el fontanero,Joe le plombier,Joe l'idraulico,ジョー・ザ・プラマー
2924,Q24733929,Frozen 2,animated film,ملكة الثلج ٢,Die Eiskönigin II,Frozen II,La Reine des neiges 2,Frozen II - Il segreto di Arendelle,アナと雪の女王2
2925,Q18110046,The Legend of Mi Yue,television series,,Mi yue zhuan,,Légende de MiYue,,ミーユエ 王朝を照らす月
2926,Q1192442,The Concept of Anxiety,written work,مفهوم القلق,Der Begriff Angst,El concepto de la angustia,Le concept de l'angoisse,Il concetto dell'angoscia,不安の概念
2927,Q567518,Loschwitz Bridge,cantilever bridge,,Blaues Wunder,,Blaues Wunder,Loschwitzer Brücke,ブラウエス・ヴンダー橋
2928,Q2531762,The FBI Files,television series,ملفات مكتب التحقيقات الفيدرالي (وثائقي),F.B.I. – Dem Verbrechen auf der Spur,,,,
2929,Q1194705,Cosmos,written work,الكون (كتاب),Cosmos,Cosmos,Cosmos,,COSMOS (カール・セーガンの本)
2930,Q934536,The Seven Crystal Balls,comic book album,,Die sieben Kristallkugeln,Las 7 bolas de cristal,Les Sept Boules de cristal,Le sette sfere di cristallo,ななつの水晶球
2931,Q143493,Twenty One,game show,,Einundzwanzig,,Vingt-et-un,,21
2932,Q190,God,religious concept,الله,Gott,Dios,Dieu,dio,唯一神
2933,Q16387114,The Mosquito Coast,literary work,,,La costa de los mosquitos,,,
2934,Q1047743,"Music for Strings, Percussion and Celesta",musical work/composition,,"Musik für Saiteninstrumente, Schlagzeug und Celesta","Música para cuerda, percusión y celesta","Musique pour cordes, percussion et célesta","Musica per archi, percussioni e celesta",弦楽器と打楽器とチェレスタのための音楽
2935,Q2393680,Goharshad Mosque,mosque,مسجد جوهرشاد,Goharschad-Moschee,Mezquita de Goharshad,mosquée Goharshad,Moschea Goharshad,ゴハルシャード・モスク
2936,Q332387,The Taming of the Shrew,dramatic work,ترويض النمرة,Der Widerspenstigen Zähmung,La fierecilla domada,La Mégère apprivoisée,La bisbetica domata,じゃじゃ馬ならし
2937,Q1775543,Lubiąż Abbey,abbey,,Kloster Leubus,Abadía de Lubiąż,abbaye de Lubiąż,abbazia di Lubiąż,ルビョンシュ修道院
2938,Q3485291,barley malt syrup,food ingredient,,Malzextrakt,Jarabe de maltosa,sirop d'orge malté,Estratto di malto,麦芽シロップ
2939,Q2377530,Nativity Church at Putinki,church building,,Kirche zu Ehren der Geburt der Jungfrau Maria zu Putinki,iglesia de la Natividad de la Vírgen en Putinki,église de la Nativité-de-la-Vierge de Poutinki,chiesa della Natività della Vergine in Putinki,
2940,Q1608728,The Shaggy Dog,film,,Der unheimliche Zotti,,Quelle vie de chien !,"Geremia, cane e spia",ボクはむく犬
2941,Q16954334,The Curse of Oak Island,television program,لعنة جزيرة البلوط,Oak Island – Fluch und Legende,,Le Mystère d'Oak Island,Oak Island e il tesoro maledetto,
2942,Q1434981,Mor Gabriel Monastery,monastery,دير مار كبرئيل,Kloster Mor Gabriel,Monasterio de Mor Gabriel,monastère Mor Gabriel,Monastero di Mor Gabriel,
2943,Q712538,Kinkyū Hasshin Saver Kids,anime television series,الأطفال الأبطال,,Emergency Departure Rescue kids,,,緊急発進セイバーキッズ
2944,Q128518,Gladiator,film,غلاديايتر,Gladiator,Gladiator,Gladiator,Il gladiatore,グラディエーター
2945,Q1852239,The Americanization of Emily,film,,Nur für Offiziere,La americanización de Emily,Les Jeux de l'amour et de la guerre,"Tempo di guerra, tempo d'amore",The Americanization of Emily
2946,Q37594,William the Conqueror,human,ويليام الفاتح,Wilhelm I.,Guillermo I de Inglaterra,Guillaume le Conquérant,Guglielmo I d'Inghilterra,ウィリアム1世
2947,Q6699165,Ludwig: Requiem for a Virgin King,television film,,Ludwig – Requiem für einen jungfräulichen König,"Ludwig, réquiem por un rey virgen","Ludwig, requiem pour un roi vierge",Ludwig - Requiem per un re vergine,
2948,Q326183,Jefferson Memorial,National Memorial of the United States,نصب جيفرسون التذكاري,Jefferson Memorial,Monumento a Thomas Jefferson,Jefferson Memorial,Jefferson Memorial,ジェファーソン記念館
2949,Q83359,James Dean,human,جيمس دين,James Dean,James Dean,James Dean,James Dean,ジェームズ・ディーン
2950,Q56655003,Norman Fucking Rockwell!,album,,Norman Fucking Rockwell!,Norman Fucking Rockwell!,Norman Fucking Rockwell!,Norman Fucking Rockwell!,
2951,Q836036,If This Is a Man,written work,إذا كان هذا إنسانا,Ist das ein Mensch?,Si esto es un hombre,Si c'est un homme,Se questo è un uomo,アウシュヴィッツは終わらない—あるイタリア人生存者の考察
2952,Q1595364,Pochayiv Lavra,monastery,,Mariä-Entschlafens-Kloster (Potschajiw),Laura de Pochaiv,Laure de Potchaïv,Monastero di Počaïv,生神女就寝ポチャイフ大修道院
2953,Q272781,Jerónimos Monastery,monastery,دير جيرونيموس,Mosteiro dos Jerónimos,Monasterio de los Jerónimos de Belém,monastère des Hiéronymites,Monastero dos Jerónimos,ジェロニモス修道院
2954,Q4198261,From the Dust Returned,literary work,,Vom Staub kehrst du zurück,,De la poussière à la chair,,塵よりよみがえり
