id,name,ar,de,es,fr,it,ja,ko,th,tr,zh
Q19957048,Dave Cobb,ديف كوب,Dave Cobb,Dave Cobb,Dave Cobb,Dave Cobb,デイヴ・コブ,,,,戴夫·科布
Q20645861,Twice,توايس,Twice,Twice,Twice,Twice,TWICE,트와이스,ทไวซ์,TWICE,TWICE
Q991,Fyodor Dostoyevsky,فيودور دوستويفسكي,Fjodor Michailowitsch Dostojewski,Fiódor Dostoyevski,Fiodor Dostoïevski,Fëdor Dostoevskij,フョードル・ドストエフスキー,표도르 도스토옙스키,ฟิโอดอร์ ดอสโตเยฟสกี,Fyodor Dostoyevski,費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
Q8577,2012 Summer Olympics,الألعاب الأولمبية الصيفية 2012,Olympische Sommerspiele 2012,Juegos Olímpicos de Londres 2012,Jeux olympiques d'été de 2012,Giochi della XXX Olimpiade,2012年ロンドンオリンピック,2012년 하계 올림픽,โอลิมปิกฤดูร้อน 2012,2012 Yaz Olimpiyatları,2012年夏季奥林匹克运动会
Q9674,2010 Winter Olympics,الألعاب الأولمبية الشتوية 2010,Olympische Winterspiele 2010,Juegos Olímpicos de Vancouver 2010,Jeux olympiques d'hiver de 2010,XXI Giochi olimpici invernali,2010年バンクーバーオリンピック,2010년 동계 올림픽,โอลิมปิกฤดูหนาว 2010,2010 Kış Olimpiyatları,2010年冬季奥林匹克运动会
Q8079,Wii,وي,Wii,Wii,Wii,Wii,Wii,Wii,วี,Wii,Wii
Q2172,Lance Armstrong,لانس آرمسترونج,Lance Armstrong,Lance Armstrong,Lance Armstrong,Lance Armstrong,ランス・アームストロング,랜스 암스트롱,แลนซ์ อาร์มสตรอง,Lance Armstrong,兰斯·阿姆斯特朗
Q5686,Charles Dickens,تشارلز ديكنز,Charles Dickens,Charles Dickens,Charles Dickens,Charles Dickens,チャールズ・ディケンズ,찰스 디킨스,ชาร์ลส์ ดิกคินส์,Charles Dickens,查尔斯·狄更斯
Q23543,Selena,سيلينا,Selena,Selena,Selena,Selena,セレーナ,셀레나,เซเลนา,Selena Quintanilla Perez,莎麗娜
Q8060,Romani people,غجر,Roma,pueblo gitano,Roms,rom,ロマ,롬인,ชาวโรมานี,Çingeneler,罗姆人
Q160738,role-playing game,لعبة تقمص أدوار,Rollenspiel,juego de rol,jeu de rôle,gioco di ruolo,ロールプレイングゲーム,테이블 롤플레잉 게임,เกมเล่นตามบทบาท,Rol yapma oyunu,角色扮演游戏
Q150665,"Charles VI, Holy Roman Emperor",كارل السادس، إمبراطور روماني مقدس,Karl VI.,Carlos VI del Sacro Imperio Romano Germánico,Charles VI du Saint-Empire,Carlo VI del Sacro Romano Impero,カール6世,카를 6세,จักรพรรดิคาร์ลที่ 6 แห่งจักรวรรดิโรมันอันศักดิ์สิทธิ์,VI. Karl,查理六世
Q15897,Amy Winehouse,إيمي واينهاوس,Amy Winehouse,Amy Winehouse,Amy Winehouse,Amy Winehouse,エイミー・ワインハウス,에이미 와인하우스,เอมี ไวน์เฮาส์,Amy Winehouse,艾米·怀恩豪斯
Q22986,Amnesia: The Dark Descent,أمنيشيا: ذا دارك ديسينت,Amnesia: The Dark Descent,Amnesia: The Dark Descent,Amnesia: The Dark Descent,Amnesia: The Dark Descent,Amnesia: The Dark Descent,암네시아: 더 다크 디센트,,Amnesia: Dark Descent,失忆症：黑暗后裔
Q69601,Elven,,Elven,Elven,Elven,Elven,エルヴァン,,,Elven,埃尔旺
Q164060,Brandi Carlile,براندي كارلايل,Brandi Carlile,Brandi Carlile,Brandi Carlile,Brandi Carlile,ブランディ・チャーリー,브랜디 칼라일,,Brandi Carlile,布兰迪·卡莉
Q178824,Blizzard Entertainment,بليزارد إنترتينمنت,Blizzard Entertainment,Blizzard Entertainment,Blizzard Entertainment,Blizzard Entertainment,ブリザード・エンターテインメント,블리자드 엔터테인먼트,บลิซซาร์ด เอ็นเตอร์เทนเมนต์,Blizzard Entertainment,暴雪娛樂
Q204474,id Software,إد سوفتوير,id Software,id Software,id Software,id Software,id Software,이드 소프트웨어,,id Software,Id Software
Q205707,Bradley Cooper,برادلي كوبر,Bradley Cooper,Bradley Cooper,Bradley Cooper,Bradley Cooper,ブラッドレイ・クーパー,브래들리 쿠퍼,แบรดลีย์ คูเปอร์,Bradley Cooper,布萊德利·庫柏
Q207852,Elisabeth Shue,إليزابيث شو,Elisabeth Shue,Elisabeth Shue,Elisabeth Shue,Elisabeth Shue,エリザベス・シュー,엘리자베스 슈,เอลิซาเบธ ชู,Elisabeth Shue,伊麗莎白·蘇
Q264766,Theresa May,تيريزا ماي,Theresa May,Theresa May,Theresa May,Theresa May,テリーザ・メイ,테리사 메이,เทเรซา เมย์,Theresa May,文翠珊
Q182788,Newt Gingrich,نيوت جينجريتش,Newt Gingrich,Newt Gingrich,Newt Gingrich,Newt Gingrich,ニュート・ギングリッチ,뉴트 깅리치,นิวต์ กิงริช,Newt Gingrich,紐特·金里奇
Q189784,Doom,دوم,Doom,Doom,Doom,Doom,DOOM,둠,ดูม,Doom,毀滅戰士
Q212173,Roger Ebert,روجر إيبرت,Roger Ebert,Roger Ebert,Roger Ebert,Roger Ebert,ロジャー・イーバート,로저 이버트,โรเจอร์ อีเบิร์ต,Roger Ebert,罗杰·埃伯特
Q349375,Fortnite,فورتنايت,Fortnite,Fortnite,Fortnite,Fortnite,フォートナイト,포트나이트,ฟอร์ตไนต์,Fortnite,堡垒之夜
Q373423,Robert Caro,روبرت كارو,Robert A. Caro,Robert Caro,Robert Caro,Robert Caro,ハーバート・ミットガング,,,Robert Caro,罗伯特·卡罗
Q387157,Rocket Mortgage FieldHouse,صاروخ حقل الرهن العقاري,Rocket Mortgage FieldHouse,Rocket Mortgage FieldHouse,Rocket Mortgage FieldHouse,Rocket Mortgage FieldHouse,ロケット・モーゲージ・フィールドハウス,로킷 모기지 필드하우스,,,快貸球館
Q57317060,The Suicide Squad,الفرقة الانتحارية,The Suicide Squad,El Escuadrón Suicida,The Suicide Squad,The Suicide Squad - Missione suicida,ザ・スーサイド・スクワッド,더 수어사이드 스쿼드,เดอะ ซุยไซด์ สควอด,İntihar Timi,自杀小队2
Q735613,The Legend of Zelda: Twilight Princess,ذا ليجند أوف زيلدا: توايلايت برينسس,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,ゼルダの伝説 トワイライトプリンセス,젤다의 전설 황혼의 공주,เดอะเลเจนด์ออฟเซลดา ทไวไลต์พรินเซสส์,The Legend of Zelda: Twilight Princess,薩爾達傳說 黃昏公主
Q818475,Taal Volcano,بركان تال,Taal,Taal,Taal,Taal,タール火山,따알 화산,ภูเขาไฟตาอัล,Taal Yanardağı,塔阿爾火山
Q953229,Advance Wars,أدفانس وير,Advance Wars,Advance Wars,Advance Wars,Advance Wars,ゲームボーイウォーズアドバンス,어드밴스 워즈,,,高级战争
Q1076932,Nancy Drew,نانسي درو,Nancy Drew,Nancy Drew,Alice Roy,Nancy Drew,少女探偵ナンシー,낸시 드루,,Nancy Drew,南茜朱尔
Q390137,God of War,إله الحرب,God of War,God of War,God of War,God of War,ゴッド・オヴ・ウォー,갓 오브 워,ก๊อดออฟวอร์ (แฟรนไชส์),,戰神系列
Q573463,Anthony Joshua,أنتوني جوشوا,Anthony Joshua,Anthony Joshua,Anthony Joshua,Anthony Joshua,アンソニー・ジョシュア,앤서니 조슈아,แอนโทนี โจชัว,Anthony Joshua,安东尼·约书亚
Q577646,High School Musical,هاي سكول ميوزيكال,High School Musical,High School Musical,High School Musical,High School Musical,,,,,歌舞青春
Q621818,Rian Johnson,ريان جونسون,Rian Johnson,Rian Johnson,Rian Johnson,Rian Johnson,ライアン・ジョンソン,라이언 존슨,ไรอัน จอห์นสัน,Rian Johnson,莱恩·约翰逊
Q622308,Damian Lillard,داميان ليلارد,Damian Lillard,Damian Lillard,Damian Lillard,Damian Lillard,デイミアン・リラード,데이미언 릴러드,,Damian Lillard,達米恩·林納德
Q727791,Irving Cummings,إيرفينغ كامينغز,Irving Cummings,Irving Cummings,Irving Cummings,Irving Cummings,アーヴィング・カミングス,어빙 커밍스,,Irving Cummings,艾文·甘寧斯
Q1333411,Victoria Memorial,نصب فيكتوريا التذكاري,Victoria Memorial,Victoria Memorial,Victoria Memorial,Victoria Memorial,ヴィクトリア・メモリアル (ロンドン),,,Viktorya Anıtı,維多利亞女王紀念碑
Q4989906,monument,معلم تذكاري,Denkmal,monumento,monument,monumento,モニュメント,기념물,อนุสรณ์สถาน,anıt,紀念建築物
Q7969454,Merdeka 118,ميرديكا 118,Merdeka 118,Merdeka 118,Merdeka 118,KL118,PNB118,KL118,เมอร์เดกา 118,Merdeka 118,默迪卡118
Q21622122,Maren Morris,مارين موريس,Maren Morris,Maren Morris,Maren Morris,Maren Morris,マレン・モリス,매런 모리스,,Maren Morris,玛伦·莫里丝
Q139330,Zach Braff,زاك براف,Zach Braff,Zach Braff,Zach Braff,Zach Braff,ザック・ブラフ,잭 브래프,,Zach Braff,扎克·布拉夫
Q190192,Dune,كثيب,Der Wüstenplanet,Dune,Dune,Dune,デューン,듄,ดูน,Çöl Gezegeni Dune,沙丘小說
Q546639,Kashta,كاشتا,Kaschta,Kashta,Kachta,Kashta,カシュタ,,,,卡施塔
Q547794,Richard Ford,ريتشارد فورد,Richard Ford,Richard Ford,Richard Ford,Richard Ford,リチャード・フォード,리처드 포드,,Richard Ford,理查德·福特
Q964613,Phantasy Star,فانتاسي ستار,Phantasy Star,Phantasy Star,Phantasy Star,Phantasy Star,ファンタシースターシリーズ,판타지 스타,,,梦幻之星系列
Q1335973,Grammy Award for Best Jazz Instrumental Album,جائزة غرامي لأفضل ألبوم عزف جاز,Grammy Award for Best Jazz Instrumental Album,premio Grammy al mejor álbum de jazz instrumental,Grammy Award du meilleur album de jazz instrumental,,グラミー賞最優秀ジャズ・インストゥメンタル・アルバム賞,,,En İyi Enstrümantal Caz Albümü Grammy Ödülü,
Q65066669,The Father,الأب,The Father,The Father,The Father,The Father - Nulla è come sembra,ザ・ファーザー,더 파더,,Baba,困在时间里的父亲
Q68549841,Malignant,ماليغنانت,Malignant,Malignant,Malignant,Malignant,マリグナント,말리그넌트,,Habis,疾厄
Q76668702,Black Pumas,بلاك بوماز,Black Pumas,Black Pumas,Black Pumas,Black Pumas,ブラック・プーマズ,,,Black Pumas,布莱克·普马斯
Q44165,Diablo,ديابلو,Diablo,Diablo,Diablo,Diablo,,디아블로 시리즈,,Diablo,暗黑破坏神系列
Q26540,artificial satellite,قمر اصطناعي,Satellit,satélite artificial,satellite artificiel,satellite artificiale,人工衛星,인공위성,ดาวเทียม,yapay uydu,人造衛星
Q9617,Arsenal F.C.,نادي آرسنال,FC Arsenal,Arsenal Fútbol Club,Arsenal FC,Arsenal Football Club,アーセナルFC,아스널 FC,สโมสรฟุตบอลอาร์เซนอล,Arsenal FC,阿森纳足球俱乐部
Q35875,mass–energy equivalence,تكافؤ كتلة-طاقة,Äquivalenz von Masse und Energie,equivalencia entre masa y energía,E=mc²,E=mc²,質量とエネルギーの等価性,질량-에너지 동등성,ความสมมูลระหว่างมวล-พลังงาน,E=mc²,質能等價
Q43845,businessperson,صاحب أعمال,Geschäftsmann,empresario,personnalité du monde des affaires,personalità del mondo degli affari,実業家,사업가,นักธุรกิจ,iş insanı,商人
Q100594535,Elliott from Earth,إليوت من كوكب الأرض,"Elliott, der Junge von der Erde",Elliott from Earth,Elliott le Terrien,Elliott il terrestre,エリオット・フロム・アース,지구에서 온 엘리엇,,Dünyalı Elliott,來自地球的艾列德
Q121221,Budgerigar,بدجريقة,Wellensittich,Melopsittacus undulatus,Perruche ondulée,Melopsittacus undulatus,セキセイインコ,사랑앵무,นกหงส์หยก,Muhabbet kuşu,虎皮鸚鵡
Q908213,Pet Sematary,,Friedhof der Kuscheltiere,Pet Sematary,Simetierre,Cimitero vivente,,공포의 묘지,,"Hayvan Mezarlığı (film, 1989)",禁入墳場
Q1121597,The War of the Roses,حرب آل روز,Der Rosenkrieg,La guerra de los Rose,La Guerre des Rose,La guerra dei Roses,ローズ家の戦争,장미의 전쟁,,Güllerin Savaşı,玫瑰戰爭
Q1772698,affair,السحاق,Affäre,aventura amorosa,affaire,tresca,情事,불륜,Extramarital affair,,偷情
Q3100030,Gears of War,غيرز أوف وور,Gears of War,Gears of War,Gears of War,Gears of War,Gears of War,기어스 오브 워,เกีย ออฟ วอร์,,戰爭機器系列
Q136591,ZZ Top,زي زي توب,ZZ Top,ZZ Top,ZZ Top,ZZ Top,ZZトップ,ZZ 톱,,ZZ Top,ZZ Top
Q160349,Charles VI of France,شارل السادس ملك فرنسا,Karl VI.,Carlos VI de Francia,Charles VI de France,Carlo VI di Francia,シャルル6世 (フランス王),샤를 6세,พระเจ้าชาร์ลที่ 6 แห่งฝรั่งเศส,Charles de France,查理六世
Q3209782,Anne of Green Gables,,Anne auf Green Gables,Anne of Green Gables,,,アン・ブックス,,,,
Q4732270,Union of Allied Planets,,Allianz,,Alliance,,,,,,
Q7643396,Supergiant Games,,Supergiant Games,Supergiant Games,Supergiant Games,,,슈퍼자이언트 게임스,,Supergiant Games,超级巨人游戏工作室
Q7716000,The Beak of the Finch,,The Beak of the Finch,El pico del pinzón,The Beak of the Finch,The Beak of the Finch,,,,,鸟喙：加拉帕格斯群岛考察记
Q10497835,Formula One team,,Formel-1-Team,Equipo de Fórmula Uno,écurie de Formule 1,scuderia di Formula 1,フォーミュラ1チーム,,,,
Q13426919,Vanellus,أبو طيط,Kiebitze,Vanellus,Vanellus,Vanellus,,댕기물떼새속,,,麦鸡属
Q18754117,Blue Shell,,Blauer Panzer,,,,トゲゾーこうら,,,,刺刺龜殼
Q27985819,Spider-Man: Far From Home,الرجل العنكبوت: بعيدا عن الوطن,Spider-Man: Far From Home,Spider-Man: Far From Home,Spider-Man: Far from Home,Spider-Man: Far from Home,スパイダーマン:ファー・フロム・ホーム,스파이더맨: 파 프롬 홈,สไปเดอร์-แมน ฟาร์ ฟรอม โฮม,Örümcek-Adam: Evden Uzakta,蜘蛛人：離家日
Q62569141,Risk of Rain 2,,Risk of Rain 2,Risk of Rain 2,Risk of Rain 2,Risk of Rain 2,,,,Risk of Rain 2,雨中冒险2
Q163819,"10,000 Maniacs",,"10,000 Maniacs","10,000 Maniacs","10,000 Maniacs","10,000 Maniacs","10,000マニアックス",,,"10,000 Maniacs",万疯乐队
Q166866,Crescent City,كريسينت سيتي,Crescent City,Crescent City,Crescent City,Crescent City,クレセントシティ,크레센트시티,,Crescent City,克雷森特城
Q179684,Spanish Armada,الأرمادا الإسبانية,Spanische Armada,Armada Invencible,Invincible Armada,Invincibile Armata,アルマダの海戦,스페인 무적함대,อาร์มาดาสเปน,İspanyol Armada,無敵艦隊
Q187732,RuneScape,رون سكيب,RuneScape,RuneScape,RuneScape,RuneScape,RuneScape,룬스케이프,RuneScape,RuneScape,RuneScape
Q188819,Billboard 200,بيلبورد 200,Billboard 200,Billboard 200,Billboard 200,Billboard 200,Billboard 200,빌보드 200,บิลบอร์ด 200,Billboard 200,公告牌二百强专辑榜
Q214426,Mexican Revolution,الثورة المكسيكية,Mexikanische Revolution,Revolución Mexicana,Révolution mexicaine,rivoluzione messicana,メキシコ革命,멕시코 혁명,การปฏิวัติเม็กซิโก,Meksika Devrimi,墨西哥革命
Q766866,Kevin McCarthy,كيفن مكارثي,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,ケビン・マッカーシー,케빈 매카시,,Kevin McCarthy,凯文·麦卡锡
Q846224,fighting game,لعبة قتال,Kampfspiel,videojuego de lucha,jeu vidéo de combat,picchiaduro,対戦格闘ゲーム,대전 격투 게임,เกมต่อสู้,dövüş oyunu,格斗电子游戏
Q248688,85th Academy Awards,حفل توزيع جوائز الأوسكار الخامس والثمانون,Oscarverleihung 2013,85.º Premios Óscar,85e cérémonie des Oscars,Premi Oscar 2013,第85回アカデミー賞,제85회 아카데미상 시상식,งานประกาศผลรางวัลออสการ์ ครั้งที่ 85,85. Akademi Ödülleri,第85屆奧斯卡金像獎
Q385938,Government Palace,القصر الحكومي,Regierungspalast,Palacio de Gobierno del Perú,palais du Gouvernement du Pérou,Palazzo del Governo del Perù,,페루 대통령궁,,Hükûmet Sarayı,政府宫
Q589969,2005 US Open,أمريكا المفتوحة 2005,US Open 2005,Abierto de Estados Unidos 2005,US Open de tennis 2005,US Open 2005,2005年全米オープン,,,,2005年美國網球公開賽
Q848512,sound film,سينما ناطقة,Tonfilm,cine sonoro,cinéma sonore,cinema sonoro,トーキー,유성 영화,,Sesli film,有声电影
Q10210,white wine,نبيذ أبيض,Weißwein,vino blanco,vin blanc,vino bianco,白ワイン,백포도주,,beyaz şarap,白葡萄酒
Q174218,Vs.,,Vs.,Vs.,Vs.,Vs.,Vs.,Vs.,,Vs.,
Q192863,Amon Amarth,,Amon Amarth,Amon Amarth,Amon Amarth,Amon Amarth,アモン・アマース,아몬 아마스,อะมอนอะมาร์ท,Amon Amarth,維京戰神樂團
Q552560,Where the Buffalo Roam,,Blast – Wo die Büffel röhren,Where the Buffalo Roam,Where the Buffalo Roam,Where the Buffalo Roam,,,,,天馬行空錄
Q604876,Alex Cross,,Alex Cross,Alex Cross,Alex Cross,Alex Cross,バーニング・クロス,알렉스 크로스,,Alex Cross,神探追緝令
Q1066024,The Replacements,,The Replacements,The Replacements,The Replacements,The Replacements,リプレイスメンツ,리플레이스먼츠,,The Replacements (müzik grubu),替代品合唱團
Q1207302,jar,جرة,Glas,frasco,bocal,barattolo,ジャー,항아리,,Kavanoz,罐子
Q1419545,Alex Rider,,Alex Rider,Alex Rider,Alex Rider,,女王陛下の少年スパイ! アレックス,앨릭스 라이더,,,阿里克斯·莱德
Q2060077,Walk Hard: The Dewey Cox Story,,Walk Hard: Die Dewey Cox Story,Walk Hard: The Dewey Cox Story,Walk Hard: The Dewey Cox Story,Walk Hard - La storia di Dewey Cox,ウォーク・ハード ロックへの階段,워크 하드: 듀이 콕스 스토리,,,永不止步：戴維·寇克斯的故事
Q2299857,Dante's Inferno,,Dante’s Inferno,Dante's Inferno,Dante's Inferno,Dante's Inferno,ダンテズ・インフェルノ 〜神曲 地獄篇〜,단테스 인페르노,,,但丁的地獄之旅
Q4345727,The Little Engine That Could,,Die kleine blaue Lokomotive,,Le Petit Train bleu,,ザ・リトル・エンジン・ザット・クッド,,,,
Q4930521,Blues in My Heart,,Blues in My Heart,Blues in My Heart,Blues in My Heart,,,,,,
Q19706809,Mario Baseball,,Mario Baseball,,,,,,,,
Q19877916,2015 NBA Finals,نهائي الدوري الأمريكي لكرة السلة للمحترفين 2015,NBA Finals 2015,Finales de la NBA de 2015,Finales NBA 2015,,2015年のNBAファイナル,,,2015 NBA Finalleri,2015年NBA總決賽
Q52195826,BTS World Tour: Love Yourself,جولة بي تي اس العالمية: لوف يورسيلف,Love Yourself World Tour,BTS World Tour: Love Yourself,BTS World Tour Love Yourself,BTS World Tour: Love Yourself,,LOVE YOURSELF TOUR,,,愛自己世界巡迴演唱會
Q99647251,2020 Billboard Music Awards,,Billboard Music Awards 2020,,,,ビルボード・ミュージック・アワード2020,,,,2020年告示牌音樂獎
Q100930223,Gönül Dağı,جبل القلب,Gönül Dagi,,,,ハートマウンテン,,,Gönül Dağı,
Q1047061,Giant Wild Goose Pagoda,معبد الإوز البري العملاق,Große Wildganspagode,Gran pagoda del ganso salvaje,grande pagode de l'oie sauvage,Pagoda della grande oca selvatica,大雁塔,대안탑,เจดีย์ต้าย่าน,Büyük Vahşi Kaz Pagodası,大雁塔
Q1048694,Russian State Library,مكتبة دولة روسيا,Russische Staatsbibliothek,Biblioteca del Estado Ruso,bibliothèque d'État de Russie,Biblioteca di stato russa,ロシア国立図書館,러시아 국립도서관,หอสมุดรัฐรัสเซีย,Rusya Devlet Kütüphanesi,俄罗斯国立图书馆
Q104871,A Midsummer Night's Dream,حلم ليلة منتصف الصيف,Ein Sommernachtstraum,El sueño de una noche de verano,Le Songe d'une nuit d'été,Sogno di una notte di mezza estate,夏の夜の夢,한여름 밤의 꿈,,Bir Yaz Gecesi Rüyası,仲夏夜之梦
Q106605,coat of arms of Egypt,شعار مصر,Wappen Ägyptens,Escudo de Egipto,Armoiries de l'Égypte,stemma dell'Egitto,エジプトの国章,이집트의 국장,ตราแผ่นดินของอียิปต์,Mısır arması,埃及国徽
Q107158,Emblem of North Korea,شعار كوريا الشمالية,Wappen Nordkoreas,Emblema de Corea del Norte,armoiries de la Corée du Nord,emblema della Corea del Nord,朝鮮民主主義人民共和国の国章,조선민주주의인민공화국의 국장,ตราแผ่นดินของเกาหลีเหนือ,Kuzey Kore arması,朝鲜国徽
Q1038272,War of the Last Alliance,,Schlacht des letzten Bündnisses,guerra de la Última Alianza,Dernière Alliance des Elfes et des Hommes,Ultima Alleanza tra gli Elfi e gli Uomini,,,สงครามแห่งพันธมิตรครั้งสุดท้าย,Son İttifak Savaşı,精靈及人類最後同盟
Q1044613,Helsinki Central Railway Station,محطة قطارات هلسنكي المركزية,Helsinki Hauptbahnhof,Estación Central de Helsinki,gare centrale d'Helsinki,stazione centrale di Helsinki,ヘルシンキ中央駅,헬싱키 역,สถานีกลางเฮลซิงกิ,Helsinki Garı,赫尔辛基中央车站
Q1061693,Gay Science,العلم المرح,Die fröhliche Wissenschaft,La gaya ciencia,Le Gai Savoir,La gaia scienza,悦ばしき知識,즐거운 지식,,Şen Bilim,快樂的科學
Q1066598,The Open Society and Its Enemies,,Die offene Gesellschaft und ihre Feinde,La sociedad abierta y sus enemigos,La Société ouverte et ses ennemis,La società aperta e i suoi nemici,開かれた社会とその敵,열린 사회와 그 적들,,Açık Toplum ve Düşmanları,開放社會及其敵人
Q1055117,Adoration of the Magi,,Anbetung der Könige,Adoración de los Reyes Magos,Adoration des mages,Adorazione dei Magi,東方三博士の礼拝,,,Müneccim Kralların Hayranlığı (Fabriano),三博士來朝 (詹蒂萊·達·法布里亞諾)
Q1056946,Odd Obsession,,Kagi,Kagi,L'Étrange Obsession,La chiave,鍵,열쇠,,"Anahtar, 1959 filmi",鍵
Q1060796,John IV of Portugal,جواو الرابع,Johann IV.,Juan IV de Portugal,Jean IV de Portugal,Giovanni IV del Portogallo,ジョアン4世 (ポルトガル王),포르투갈의 주앙 4세,พระเจ้าฌูเอาที่ 4 แห่งโปรตุเกส,IV. João,若昂四世
Q1069130,Longjing tea,شاي لونغ جينغ,Long Jing,,Long Jing,,龍井茶,용정차,,Longjing çayı,龙井茶
Q1074789,Emperor Xiaozhuang of Northern Wei,,,Yuan Ziyou,,,孝荘帝,원자유,จักรพรรดิเว่ย์เสี้ยวจวง,Xiaozhuang,魏孝庄帝
Q1075172,Moldovița Monastery,,Kloster Moldovița,Monasterio de Moldovița,monastère de Moldovița,Monastero di Moldovita,モルドヴィツァ修道院,,,Moldovița Manastırı,摩尔多维察修道院
Q10298666,How to Train Your Dragon 2,كيف تروض تنينك 2,Drachenzähmen leicht gemacht 2,Cómo entrenar a tu dragón 2,Dragons 2,Dragon Trainer 2,ヒックとドラゴン2,드래곤 길들이기 2,อภินิหารไวกิ้งพิชิตมังกร 2,Ejderhanı Nasıl Eğitirsin 2,驯龙高手2
Q10307713,The Hunger Games: Mockingjay – Part 2,مباريات الجوع: الطائر المقلد - الجزء الثاني,Die Tribute von Panem – Mockingjay Teil 2,Los juegos del hambre: Sinsajo- Parte 2,"Hunger Games : La Révolte, partie 2",Hunger Games: Il canto della rivolta - Parte II,ハンガー・ゲーム FINAL: レボリューション,헝거 게임: 더 파이널,,Açlık Oyunları: Alaycı Kuş Bölüm 2,飢餓遊戲：自由幻夢 終結戰
Q10357223,White Queen,,die weiße Königin,,,Regina Bianca,白の女王,,,Beyaz Kraliçe,白方王后
Q10483256,A Pigeon Sat on a Branch Reflecting on Existence,,Eine Taube sitzt auf einem Zweig und denkt über das Leben nach,Una paloma se posó en una rama a reflexionar sobre la existencia,Un pigeon perché sur une branche philosophait sur l'existence,Un piccione seduto su un ramo riflette sull'esistenza,さよなら、人類,"비둘기, 가지에 앉아 존재를 성찰하다",,İnsanları Seyreden Güvercin,寒枝雀靜
Q107693427,"Love, Reason, Get Even",حب منطق انتقام,Ask Mantik Intikam,Aşk Mantık İntikam,Aşk Mantık İntikam,"Love, Reason, Get Even",,,,Aşk Mantık İntikam,
Q1046389,Air March,,,Aviamarş,Aviamarş,,航空行進曲,항공행진곡,,Aviamarş,空军进行曲
Q1049684,The Nine Billion Names of God,,Die neun Milliarden Namen Gottes,Los nueve mil millones de nombres de Dios,Les Neuf Milliards de noms de Dieu,I nove miliardi di nomi di Dio,90億の神の御名,,,Tanrının Dokuz Milyar Adı,上帝的九兆個尊名
Q1050324,Monastery of Saint Euthymius,,Erlöser-Euphemius-Kloster,Monasterio del Salvador y San Eutimio,monastère du Sauveur-Saint-Euthyme,Monastero di Sant'Eutimio,スパソ・エフフィミエフ修道院,,,Aziz Euthymius Manastırı,聖安提皮尤斯修道院
Q1051458,Church of the Intercession on the Nerl,كنيسة الشفاعة على نهر النيل,Mariä-Schutz-und-Fürbitte-Kirche an der Nerl,iglesia de la Intercesión del río Nerl,église de l'Intercession de la Nerl,chiesa dell'Intercessione sul Nerl',生神女庇護聖堂,,,Nerl'deki Meryem'in Şefaati Kilisesi,涅爾利代禱教堂
Q1053366,Clan McDuck,عائلة البط,,,clan McPicsou,Clan de' Paperoni,マクダック氏,,,McDuck Klanı,麦克达克家族
Q1059199,Adam's Rib,ضلع آدم,Ehekrieg,La costilla de Adán,Madame porte la culotte,La costola di Adamo,アダム氏とマダム,아담의 부인,,Adam's Rib,金屋藏嬌
Q1059426,Suzdal Kremlin,,Susdaler Kreml,Kremlin de Súzdal,Kremlin de Souzdal,Cremlino di Suzdal',スーズダリのクレムリン,,,Suzdal Kremlini,蘇茲達爾克林姆林
Q1059841,Holtzman effect,,,,Effet Holtzman,Effetto Holtzman,,,,Holtzman Etkisi,
Q1061892,Time of the Twins,,,,Le Temps des jumeaux,Il destino dei gemelli,,,,İkizlerin Zamanı,
Q1062531,boiled egg,بيض مسلوق,gekochtes Ei,huevo cocido,œuf à la coque,uovo alla coque,ゆで卵,삶은 달걀,ไข่ต้ม,Rafadan yumurta,水煮蛋
Q1063425,Porcelain Tower of Nanjing,,Porzellanpagode,Torre de porcelana,pagode de porcelaine de Nankin,Torre di porcellana,大報恩寺の琉璃塔,영곡탑,เจดีย์กระเบื้องเคลือบ,Nanjing Porselen Kulesi,大报恩寺琉璃塔
Q1064934,The Number Devil,حكاية الرياضيات - عفريت الأرقام,Der Zahlenteufel,El diablo de los números,Le démon des maths : le livre de chevet pour tous ceux qui ont peur des mathématiques,Il mago dei numeri,数の悪魔,수학 귀신,,Sayı Şeytanı,
Q1065126,Hungarian Dances,,Ungarische Tänze,Danzas húngaras,Danses hongroises,Danze ungheresi,ハンガリー舞曲,헝가리 무곡,ฮังกาเรียนแดนซ์,Macar Dansları,匈牙利舞曲
Q1066260,tomato soup,شوربة الطماطم,Tomatensuppe,Sopa de tomate,soupe de tomate,zuppa di pomodoro,トマトスープ,토마토 수프,,domates çorbası,番茄湯
Q108416593,Dug Days,يوميات داغ,Dug Tage,Dug Days,Bienvenue chez Doug,Una vita da Dug,ダグの日常,더그의 일상,,Dug'ın Maceraları,小逗的日子
Q1067836,Elvish language,,,lenguas élficas,langues elfiques,Lingua elfica,エルフ語,,,Elfçe,精靈語
Q1072093,military chocolate,,US-amerikanische Militärschokolade,Chocolate de las Fuerzas Armadas de Estados Unidos,chocolat des forces armées des États-Unis,Cioccolato delle forze armate statunitensi,アメリカ軍用チョコレート,미군 초콜릿,,Askeri çikolata,美国军用巧克力
